Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-13T13:42:46.924Z;Miguel;-27.386952;-56.848734;N̼cleo 4;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T13:46:51.148Z;Mabel;-27.384929;-56.850879;N̼cleo 4;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:02:41.299Z;Miguel;-27.386842;-56.847362;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:07:12.761Z;Mabel;-27.385279;-56.845431;N̼cleo 3;;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:08:10.641Z;Miguel;-27.387304;-56.846659;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:11:05.635Z;Miguel;-27.387583;-56.846427;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:13:38.103Z;Miguel;-27.387619;-56.846421;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:15:34.778Z;Mabel;-27.384894;-56.844647;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:19:09.889Z;Mabel;-27.384899;-56.845103;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:21:38.987Z;Miguel;-27.38778;-56.848142;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:24:45.448Z;Miguel;-27.387798;-56.848;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:29:20.274Z;Miguel;-27.387816;-56.847594;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:29:21.970Z;Mabel;-27.385282;-56.845909;N̼cleo 3;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
2026-04-13T14:42:40.833Z;Miguel;-27.384779;-56.843023;N̼cleo 6;Partido Colorado;REPORTE_AYER_13_ABRIL.csv
